size,direction,iat
0.8028027,0.3264136,0.083338775
0.2617414,1.5740724,-0.5402953
0.44675562,0.08361081,0.09618724
1.2322588,1.5693163,-0.19378605
0.76133627,0.7630636,0.19164278
-0.50140667,-0.5813375,-0.16073103
-0.32722357,1.5507863,-0.5615729
0.2555804,1.5945328,-0.10334347
0.67687136,0.6521351,0.54070306
0.4374371,-0.9868638,-0.25639087
0.67929745,1.4485989,-0.41451538
1.1715494,0.29917,0.82071346
0.2072264,-0.96568877,-0.27480125
0.5191197,1.6484876,-0.54790276
1.1503938,1.0143013,-0.07740281
1.2744459,0.32951197,-0.19934624
1.7784488,1.6824872,-0.66017354
1.1649516,0.93875855,-0.5652188
1.0448222,1.423722,-0.47311074
0.765741,0.8352945,-0.004473429
1.4184345,1.0261396,-0.50138444
1.641477,0.76416135,0.1625779
2.0236247,0.36413032,-0.34142214
1.5215979,0.57802516,0.18207105
1.3346448,-0.89271426,-0.17075965
1.7796173,0.42018583,-0.4150926
0.9761523,-1.1779331,-0.13131414
1.2102822,0.6988144,-0.20360689
0.5905611,-1.0772865,-0.07349693
0.9724321,-0.18015544,0.130635
0.22262566,-1.1315688,-0.103619196
0.21202992,0.15704046,-0.12976687
0.07828437,-0.65934396,0.21555595
0.43148816,0.89246434,-0.3801228
0.40096596,-0.49234328,0.014555756
0.6633241,1.5493606,-0.68084115
1.036201,0.7138998,0.44777966
0.03921901,-0.090881124,-0.7633952
0.81511956,1.9127476,-0.2478949
0.65960497,0.3648023,0.4133334
0.75605404,1.422932,0.17960502
1.5250715,1.1381369,0.287173
2.4494908,0.48393774,0.36985642
2.395472,-0.20278531,0.82284576
1.6426171,-1.5068035,-0.11278022
0.0235844,-0.029859612,-0.3323772
0.366577,0.29346815,0.9629259
1.4031177,1.1522508,-1.5807065
0.0,0.0,0.0
0.0,0.0,0.0
