size,direction,iat
0.8145348,0.33252695,0.08624825
0.26480052,1.600161,-0.54687613
0.45270637,0.08484098,0.100131005
1.2515125,1.5944823,-0.19533803
0.77321386,0.777088,0.19779043
-0.5114059,-0.59287286,-0.1610542
-0.33514774,1.5734667,-0.56946427
0.25771758,1.620371,-0.10169429
0.6853891,0.6617609,0.5517163
0.44207826,-1.0046889,-0.2589407
0.6878855,1.4704564,-0.41933453
1.1892887,0.30344903,0.83698106
0.20953156,-0.98336875,-0.276663
0.5243628,1.6725596,-0.5547203
1.1676083,1.0305653,-0.07706713
1.2944657,0.33559316,-0.19905108
1.8062052,1.710136,-0.6699265
1.1831883,0.9540628,-0.5733459
1.0600663,1.4458655,-0.47943854
0.7760548,0.84872437,-0.002629212
1.4399792,1.042569,-0.50712854
1.6670548,0.7766408,0.16701937
2.0556424,0.37043604,-0.34497643
1.5463126,0.58791035,0.18742107
1.3553604,-0.90804255,-0.1710073
1.8076233,0.42681217,-0.42068624
0.98999166,-1.1981901,-0.13176793
1.2280015,0.7099243,-0.20508961
0.59799635,-1.0961119,-0.07358154
0.98650515,-0.18311301,0.13476406
0.22334547,-1.1501139,-0.10451095
0.21396542,0.15863787,-0.12871937
0.0763632,-0.6720837,0.22149862
0.4364576,0.9046949,-0.38404116
0.40623966,-0.5005353,0.017668908
0.6733551,1.5710064,-0.69008833
1.0513544,0.7226456,0.45762944
0.038865663,-0.09419724,-0.77224964
0.8258696,1.9412348,-0.2507621
0.6694226,0.3726839,0.4209594
0.76762116,1.443965,0.18471554
1.5484024,1.1567616,0.2941853
2.4876065,0.4903108,0.37793028
2.4340563,-0.2070717,0.8388778
1.6680517,-1.5343705,-0.112144604
0.021083647,-0.03324528,-0.33624697
0.37067914,0.2968462,0.98072886
1.4245696,1.1686103,-1.605059
0.0,0.0,0.0
0.0,0.0,0.0
