size,direction,iat
0.9024545,0.37883565,0.10731385
0.29028925,1.8016979,-0.5981547
0.49452707,0.095180206,0.13084576
1.4015983,1.790426,-0.20802237
0.86285895,0.87707555,0.24458829
-0.589847,-0.68089634,-0.16214779
-0.3926566,1.7578917,-0.6315282
0.27335355,1.8173995,-0.092746675
0.75341713,0.73760045,0.63431543
0.47789901,-1.1399653,-0.27726123
0.7636125,1.6446337,-0.4568812
1.3298227,0.3346203,0.9640428
0.22078279,-1.1176308,-0.2968281
0.568451,1.8635137,-0.6110748
1.3008549,1.1541055,-0.07215234
1.4507312,0.3856748,-0.202488
2.0240762,1.928352,-0.74541193
1.3156657,1.0718297,-0.6335327
1.1772854,1.6175982,-0.5283768
0.8592212,0.9506875,0.015444018
1.6138575,1.1744298,-0.55437756
1.8692319,0.86784863,0.20799722
2.3073046,0.4137359,-0.37350816
1.7351217,0.6577501,0.23145209
1.5179801,-1.0317583,-0.17562036
2.0237687,0.47659644,-0.45939654
1.0971109,-1.3617908,-0.13545579
1.3665705,0.79512674,-0.21576855
0.65453327,-1.24704,-0.070089065
1.0990999,-0.21076505,0.16562901
0.22775573,-1.2987162,-0.10903013
0.22722028,0.17311662,-0.12814768
0.06588522,-0.76720065,0.26595795
0.47997823,1.0028352,-0.41598627
0.44752476,-0.5691884,0.042709604
0.74747753,1.749104,-0.76346165
1.1719613,0.80074316,0.53912306
0.035008583,-0.11974224,-0.8505608
0.9172638,2.175136,-0.26597327
0.7415134,0.41927573,0.487767
0.8557892,1.620503,0.2229997
1.7369511,1.2879373,0.3599247
2.791343,0.5424782,0.44695407
2.7308002,-0.24886324,0.9637146
1.8707142,-1.7474492,-0.10998745
0.007594374,-0.04469265,-0.36544427
0.40515196,0.32570034,1.1212753
1.5922967,1.3029859,-1.7954955
0.0,0.0,0.0
0.0,0.0,0.0
