size,direction,iat
0.87529916,0.36429894,0.10099808
0.28199896,1.7386091,-0.58215135
0.4813448,0.092438854,0.121064104
1.3544705,1.7291826,-0.20439155
0.8347062,0.8456638,0.23001046
-0.56542164,-0.65327394,-0.16181982
-0.37438846,1.7005192,-0.6118998
0.26838097,1.7555727,-0.09560612
0.73250055,0.71402216,0.6085925
0.46658581,-1.0979432,-0.27166703
0.740285,1.5910103,-0.44526866
1.285752,0.32424527,0.9246661
0.21684317,-1.0764143,-0.29083103
0.55444473,1.8041292,-0.5935568
1.259918,1.1160086,-0.073585555
1.4029855,0.37020448,-0.20138434
1.9567624,1.861059,-0.72241133
1.2742643,1.0352354,-0.61485404
1.1407075,1.5644214,-0.51296484
0.8334808,0.91913635,0.009950098
1.5599703,1.1336125,-0.53965354
1.8067559,0.8392144,0.19548212
2.2291694,0.3999057,-0.3646518
1.676307,0.6356949,0.2178255
1.4674141,-0.9935872,-0.17429356
1.95647,0.46081316,-0.44714633
1.0638121,-1.3109258,-0.13428843
1.323197,0.7681995,-0.21249802
0.6367155,-1.2001506,-0.07112188
1.0635813,-0.20297979,0.15609467
0.22652322,-1.2521312,-0.10776677
0.222876,0.16812633,-0.1281765
0.06902897,-0.7375014,0.25188515
0.46507242,0.97167563,-0.40583357
0.43351012,-0.54938143,0.035599265
0.72352314,1.6933441,-0.74011976
1.1353292,0.7742082,0.51428705
0.037177928,-0.114665814,-0.82506734
0.8890226,2.0998318,-0.2618049
0.7174437,0.40220478,0.46568337
0.8255248,1.5643731,0.20976849
1.675083,1.244225,0.3396552
2.694605,0.5289863,0.42288294
2.63502,-0.23322885,0.9244341
1.8037803,-1.680119,-0.110363856
0.012111234,-0.039886598,-0.3566094
0.3941471,0.3147683,1.0759723
1.5373585,1.2623649,-1.734958
0.0,0.0,0.0
0.0,0.0,0.0
