size,direction,iat
0.8335063,0.3425921,0.09078355
0.2703115,1.6437452,-0.5581053
0.4618572,0.087047115,0.10675991
1.2834965,1.6364682,-0.19779389
0.7923127,0.797912,0.20746465
-0.52826196,-0.61166686,-0.1612673
-0.34737578,1.6132009,-0.5827693
0.26039386,1.662387,-0.09985907
0.6996399,0.67753613,0.5688079
0.44898877,-1.03316,-0.26288196
0.70261616,1.5053549,-0.4268451
1.2173811,0.30937722,0.86373264
0.21286973,-1.0116342,-0.2798632
0.53216827,1.7105818,-0.56582814
1.1956639,1.058146,-0.07733152
1.3274088,0.3452874,-0.19828278
1.851137,1.755445,-0.68618613
1.2112339,0.97843826,-0.5860771
1.0839329,1.4808403,-0.48944035
0.79279715,0.86997324,0.0008442301
1.4753215,1.0697352,-0.5165686
1.708724,0.79530853,0.17541388
2.1072032,0.3792734,-0.3508729
1.5852201,0.60269123,0.1964956
1.388993,-0.9334306,-0.17195454
1.8522371,0.4371787,-0.42857325
1.0120177,-1.2319432,-0.13256456
1.2564381,0.727455,-0.20726126
0.6095469,-1.1273409,-0.07289093
1.0095346,-0.18906248,0.1410862
0.22437097,-1.1803502,-0.10557336
0.21650638,0.16124254,-0.12834454
0.07416945,-0.6911423,0.2304176
0.4442382,0.9244079,-0.39041895
0.41341642,-0.5160054,0.02349596
0.6871095,1.6068717,-0.70418906
1.0766548,0.73722196,0.47467285
0.039120395,-0.10187007,-0.78769344
0.8448888,1.9862578,-0.25425902
0.6822442,0.37938505,0.43319666
0.78302455,1.4786758,0.19109863
1.5834848,1.1799856,0.30792582
2.5471168,0.50414276,0.3893045
2.4910445,-0.21370542,0.86408097
1.7055112,-1.5770043,-0.1116065
0.018105827,-0.035061274,-0.34246138
0.3770968,0.30159998,1.0079961
1.4562147,1.196973,-1.6426866
0.0,0.0,0.0
0.0,0.0,0.0
