size,direction,iat
0.80151963,0.32572308,0.0830662
0.2612371,1.5713055,-0.53942907
0.4464085,0.08296082,0.09587161
1.2300123,1.5665956,-0.1934203
0.7604843,0.762845,0.19112238
-0.5000331,-0.5804228,-0.16097149
-0.32687366,1.5462517,-0.5605023
0.25521982,1.5919503,-0.10291562
0.6759145,0.65113825,0.53968906
0.43708524,-0.9852493,-0.256203
0.6779913,1.4462274,-0.4139696
1.1697738,0.29888737,0.8190666
0.20754367,-0.9639098,-0.27427685
0.51827717,1.6455572,-0.5471798
1.1488675,1.0133752,-0.07770374
1.2726835,0.32863656,-0.19888996
1.7759179,1.6799203,-0.65944177
1.1633598,0.93730956,-0.56454927
1.0433238,1.4216658,-0.47246164
0.76479506,0.834126,-0.0047047418
1.4164963,1.024794,-0.5008461
1.6392499,0.76303095,0.16216676
2.0206718,0.36357886,-0.34111375
1.519427,0.57716525,0.18149693
1.3327968,-0.8909304,-0.17069182
1.777018,0.41956678,-0.4146332
0.97496384,-1.175694,-0.13130423
1.2084286,0.69749165,-0.20353492
0.5898423,-1.0754248,-0.07377693
0.9706586,-0.18066834,0.13066815
0.22252578,-1.1288627,-0.10386573
0.21172783,0.1565438,-0.1297368
0.077965,-0.6584774,0.21502237
0.4295728,0.8905993,-0.37946117
0.3994327,-0.49239334,0.014696665
0.6623576,1.5455017,-0.67892015
1.034899,0.7107772,0.4470568
0.040270984,-0.092517205,-0.76187825
0.8135319,1.9068513,-0.24863426
0.6578548,0.36341265,0.41112652
0.7532773,1.4191983,0.17820072
1.5203037,1.1340473,0.28670454
2.4443083,0.48642236,0.36707512
2.3899064,-0.20145893,0.821489
1.6380343,-1.5035752,-0.11304891
0.023141282,-0.029932328,-0.3322088
0.36564866,0.29329363,0.96071374
1.3998524,1.1509973,-1.5779014
0.0,0.0,0.0
0.0,0.0,0.0
