size,direction,iat
0.78474325,0.31716216,0.07875956
0.2571734,1.5347366,-0.53017837
0.43817183,0.08121386,0.090532936
1.2030418,1.5311674,-0.19113515
0.744114,0.74195623,0.18258548
-0.48573524,-0.5642783,-0.16076587
-0.31538317,1.5142286,-0.5497045
0.25155497,1.5551804,-0.10559447
0.6633893,0.63675,0.52329224
0.42941782,-0.9594425,-0.25253135
0.6635812,1.412027,-0.40643746
1.1420944,0.29163757,0.7952512
0.20676716,-0.93693376,-0.26971203
0.5088813,1.6067814,-0.5360006
1.1236873,0.9917018,-0.0799925
1.2431759,0.318697,-0.19720906
1.7345452,1.6390628,-0.6454452
1.1384845,0.9150895,-0.55337554
1.0215057,1.389501,-0.46371135
0.74839354,0.8145674,-0.007957567
1.3831233,0.9994792,-0.49204177
1.6004215,0.74583405,0.15455252
1.9728794,0.3555435,-0.33573142
1.4837506,0.56432045,0.17326258
1.3018761,-0.86781657,-0.16972488
1.7362348,0.40993512,-0.40756017
0.9546836,-1.1445497,-0.13053598
1.1821045,0.68119836,-0.20148079
0.5790864,-1.0465286,-0.07452075
0.94880867,-0.17705384,0.12579039
0.22051115,-1.0993365,-0.10330449
0.20891376,0.15380254,-0.13041303
0.07964772,-0.64096534,0.2065834
0.4198121,0.8709499,-0.37315607
0.39017266,-0.4802241,0.010891991
0.6474767,1.5087707,-0.66400236
1.0117751,0.69452125,0.43132633
0.042163853,-0.0892707,-0.746696
0.79559505,1.859015,-0.2472276
0.64322853,0.3538927,0.3970174
0.7341075,1.3834625,0.1695991
1.4812921,1.1088473,0.27351442
2.3846679,0.47915336,0.3512122
2.33161,-0.1902859,0.797715
1.5962274,-1.4626962,-0.112850174
0.025399929,-0.028129539,-0.32701424
0.3587636,0.28564197,0.9327686
1.3659407,1.1260388,-1.5409675
0.0,0.0,0.0
0.0,0.0,0.0
