dirsize_norm,iat_norm
0.4313276708126068,7.905319216661155e-05
0.4262543022632599,4.252364669810049e-05
0.41248470544815063,4.188612820144044e-06
0.4107063412666321,2.8823717457271414e-06
0.4187149703502655,1.3765390576736536e-05
0.42141103744506836,1.8075645130011253e-05
0.42702680826187134,4.360747698228806e-05
0.42278021574020386,2.1160536562092602e-05
0.4292125105857849,6.27654226263985e-05
0.4160529375076294,7.864968210924417e-06
0.43128007650375366,8.446938591077924e-05
0.4074108898639679,3.527793751345598e-06
0.4110795259475708,5.0631010708457325e-06
0.42496898770332336,2.491934719728306e-05
0.3998977243900299,7.836785584913741e-07
0.4193859100341797,9.4691313279327e-06
0.4287022054195404,6.50900838081725e-05
0.4215971529483795,1.7214326362591237e-05
0.41931065917015076,1.2229953426867723e-05
0.4235120713710785,2.6850126232602634e-05
0.41895121335983276,1.2987445188628044e-05
0.41727250814437866,9.954535926226526e-06
0.42161881923675537,1.739615800033789e-05
0.42388972640037537,2.9313914637896232e-05
0.4104471802711487,4.317836555856047e-06
0.4219251275062561,2.0716523067676462e-05
0.4189625084400177,1.6252904970315285e-05
0.42606985569000244,3.982177804573439e-05
0.4211660325527191,1.7222553651663475e-05
0.4184481203556061,1.3550196854339447e-05
0.42544984817504883,4.4836695451522246e-05
0.42271754145622253,2.604438668640796e-05
0.4256336987018585,3.25043365592137e-05
0.42069441080093384,2.0794468582607806e-05
0.4239461123943329,3.023927638423629e-05
0.4205702245235443,1.881697062344756e-05
0.4166680574417114,8.055465514189564e-06
0.4211476147174835,1.9542632799129933e-05
0.42681190371513367,4.8509729822399095e-05
0.42343175411224365,3.0318971766973846e-05
0.42366254329681396,2.646511529746931e-05
0.43004608154296875,6.474507972598076e-05
0.4057678282260895,2.1885953174205497e-06
0.42606231570243835,3.649116843007505e-05
0.42955246567726135,5.752693323302083e-05
0.42022326588630676,1.7470456441515125e-05
0.41836512088775635,1.2289839105505962e-05
0.4163784980773926,8.426463864452671e-06
0.4175052046775818,1.3228335774329025e-05
0.4234089255332947,2.8312457288848236e-05
0.4190846085548401,1.3832225704391021e-05
0.4300643503665924,5.948449324932881e-05
0.4193003475666046,1.4716566511197016e-05
0.4243643283843994,2.843004222086165e-05
0.42012742161750793,1.5779942259541713e-05
0.4051937162876129,1.9027767166335252e-06
0.41552233695983887,6.730332643201109e-06
0.42574483156204224,3.7087578675709665e-05
0.43410417437553406,0.00011593780072871596
0.42321351170539856,2.0153645891696215e-05
0.4182661473751068,1.5470706784981303e-05
0.4219778776168823,2.406535713816993e-05
0.42207691073417664,2.0422128727659583e-05
0.4275757074356079,5.1477203669492155e-05
0.41738611459732056,1.1933668247365858e-05
0.4203452467918396,1.2121108738938347e-05
0.4345460832118988,0.00013425361248664558
0.423276424407959,2.717182542255614e-05
0.40560659766197205,2.087221446345211e-06
0.43309471011161804,9.271250746678561e-05
0.4258110821247101,3.803453000728041e-05
0.4175950586795807,9.007972039398737e-06
0.4120568037033081,5.620010597340297e-06
0.4325445890426636,0.00010181996185565367
0.432313472032547,9.040280565386638e-05
0.42507168650627136,2.2723284928360954e-05
0.4247550964355469,3.405221286811866e-05
0.4209522306919098,1.655753658269532e-05
0.41152670979499817,3.973002094426192e-06
0.42499691247940063,3.180940620950423e-05
